Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
NECB,383791990.8233533,monthly,2023-06-01,3882300,2023-03-01,2945000.0,2021-07-01,2791754.0,2021-03-01,455198.0,2020-11-01,354698.0,2020-07-01,179560.0,2020-03-01,143246.0,2020-02-01,62444.0,,,,
PDLB,477711016.9181585,monthly,2023-06-01,4979400,2023-03-01,2958200.0,2022-03-01,2848300.0,2022-01-01,2824067.0,2021-06-01,2224751.0,2021-05-01,1509118.0,2020-03-01,806735.0,2020-02-01,236038.0,,,,
PRAA,722007025.6254126,monthly,2023-05-01,18602000,2020-03-01,13251400.0,2020-02-01,3527700.0,,,,,,,,,,,,,,
MRVI,1605942698.444444,monthly,2023-05-01,97433100,2022-02-01,63565400.0,2021-09-01,55828200.0,2021-03-01,40772100.0,2020-11-01,36206300.0,,,,,,,,,,
QNST,812277509.0825827,monthly,2023-05-01,21022500,2020-03-01,15147000.0,2020-02-01,12752800.0,,,,,,,,,,,,,,
EGBN,888337267.7174525,monthly,2023-05-01,12440100,2023-03-01,7772100.0,2020-03-01,7100200.0,2020-02-01,3426400.0,,,,,,,,,,,,
TRUP,1105778932.5844808,monthly,2023-05-01,38584000,2020-08-01,21581800.0,2020-03-01,10527400.0,2020-02-01,8172600.0,,,,,,,,,,,,
CPF,987931462.4788136,monthly,2023-03-01,7144900,2020-03-01,6010000.0,2020-02-01,2475700.0,,,,,,,,,,,,,,
WABC,1382266125.0907705,monthly,2023-03-01,6068100,2022-12-01,4531300.0,2020-03-01,3989900.0,2020-02-01,1552800.0,,,,,,,,,,,,
PDM,1185180063.5714283,monthly,2023-03-01,43312500,2020-03-01,33078400.0,2020-02-01,18893300.0,,,,,,,,,,,,,,
HBT,1155099219.1097405,monthly,2023-03-01,2147100,2020-03-01,1934400.0,2020-02-01,769100.0,,,,,,,,,,,,,,
BRSP,721740459.678832,monthly,2023-03-01,63528300,2020-03-01,27002400.0,2020-02-01,10540800.0,,,,,,,,,,,,,,
PKE,707341846.3404255,monthly,2023-03-01,11613800,2020-03-01,5469300.0,2020-02-01,2417200.0,,,,,,,,,,,,,,
LOB,1915262909.208984,monthly,2023-03-01,11848500,2022-03-01,11506900.0,2021-03-01,10320500.0,2020-03-01,10310900.0,2020-02-01,2213200.0,,,,,,,,,,
SAFT,1104341003.016278,monthly,2023-03-01,2741700,2020-03-01,2261400.0,2020-02-01,858000.0,,,,,,,,,,,,,,
APEI,999903545.5028956,monthly,2023-03-01,13081300,2022-09-01,11534200.0,2021-03-01,4891000.0,2020-03-01,2952000.0,2020-02-01,1237400.0,,,,,,,,,,
BBSI,885620881.9847106,monthly,2023-03-01,8452400,2020-03-01,6935600.0,2020-02-01,3287200.0,,,,,,,,,,,,,,
TITN,487481575.7838845,monthly,2023-03-01,11070500,2021-06-01,7983900.0,2020-11-01,5183200.0,2020-10-01,4553000.0,2020-03-01,4506400.0,2020-02-01,2595600.0,,,,,,,,
